Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
  0.00      0.75     0.00      200     0.00     0.00  void __gnu_cxx::new_allocator<data::frame_data>::construct<data::frame_data, data::frame_data const&>(data::frame_data*, data::frame_data const&)
  0.00      0.75     0.00      200     0.00     0.00  __gnu_cxx::new_allocator<unsigned int>::new_allocator()
  0.00      0.75     0.00      200     0.00     0.00  __gnu_cxx::__alloc_traits<std::allocator<unsigned int>, unsigned int>::_S_select_on_copy(std::allocator<unsigned int> const&)
  0.00      0.75     0.00      200     0.00     0.00  std::vector<unsigned int, std::allocator<unsigned int> >::end() const
  0.00      0.75     0.00      200     0.00     0.00  std::vector<unsigned int, std::allocator<unsigned int> >::begin() const
  0.00      0.75     0.00      200     0.00     0.00  std::allocator<unsigned int>::allocator()
  0.00      0.75     0.00      200     0.00     0.00  unsigned int* std::__copy_move<false, true, std::random_access_iterator_tag>::__copy_m<unsigned int>(unsigned int const*, unsigned int const*, unsigned int*)
  0.00      0.75     0.00      200     0.00     0.00  std::_Vector_base<unsigned int, std::allocator<unsigned int> >::_Vector_impl::_Vector_impl(std::allocator<unsigned int> const&)
  0.00      0.75     0.00      200     0.00     0.00  std::_Vector_base<unsigned int, std::allocator<unsigned int> >::_Vector_impl::_Vector_impl()
  0.00      0.75     0.00      200     0.00     0.00  std::_Vector_base<unsigned int, std::allocator<unsigned int> >::_M_create_storage(unsigned long)
  0.00      0.75     0.00      200     0.00     0.00  std::_Vector_base<unsigned int, std::allocator<unsigned int> >::_Vector_base()
  0.00      0.75     0.00      200     0.00     0.00  std::_Vector_base<unsigned int, std::allocator<unsigned int> >::_Vector_base(unsigned long, std::allocator<unsigned int> const&)
  0.00      0.75     0.00      200     0.00     0.00  void std::allocator_traits<std::allocator<data::frame_data> >::construct<data::frame_data, data::frame_data const&>(std::allocator<data::frame_data>&, data::frame_data*, data::frame_data const&)
  0.00      0.75     0.00      200     0.00     0.00  std::allocator_traits<std::allocator<unsigned int> >::select_on_container_copy_construction(std::allocator<unsigned int> const&)
  0.00      0.75     0.00      200     0.00     0.00  unsigned int* std::__uninitialized_copy<true>::__uninit_copy<__gnu_cxx::__normal_iterator<unsigned int const*, std::vector<unsigned int, std::allocator<unsigned int> > >, unsigned int*>(__gnu_cxx::__normal_iterator<unsigned int const*, std::vector<unsigned int, std::allocator<unsigned int> > >, __gnu_cxx::__normal_iterator<unsigned int const*, std::vector<unsigned int, std::allocator<unsigned int> > >, unsigned int*)
  0.00      0.75     0.00      200     0.00     0.00  std::vector<data::frame_data, std::allocator<data::frame_data> >::push_back(data::frame_data const&)
  0.00      0.75     0.00      200     0.00     0.30  std::vector<unsigned int, std::allocator<unsigned int> >::_M_default_append(unsigned long)
  0.00      0.75     0.00      200     0.00     0.30  std::vector<unsigned int, std::allocator<unsigned int> >::resize(unsigned long)
  0.00      0.75     0.00      200     0.00     0.00  std::vector<unsigned int, std::allocator<unsigned int> >::vector(std::vector<unsigned int, std::allocator<unsigned int> > const&)
  0.00      0.75     0.00      200     0.00     0.00  std::vector<unsigned int, std::allocator<unsigned int> >::vector()
  0.00      0.75     0.00      200     0.00     0.00  unsigned int* std::__niter_wrap<unsigned int*>(unsigned int* const&, unsigned int*)
